
2025/08/12 (08:25:05) | ===> btop++ v.1.3.2
2025/08/12 (08:25:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/12 (08:25:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/12 (08:25:06) | WARNING: Failed to join _runner thread on exit!

2025/08/12 (11:50:32) | ===> btop++ v.1.3.2
2025/08/12 (11:50:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/12 (11:50:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/12 (13:48:48) | WARNING: Failed to join _runner thread on exit!

2025/08/13 (08:07:19) | ===> btop++ v.1.3.2
2025/08/13 (08:07:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/13 (08:07:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/13 (11:21:39) | WARNING: Failed to join _runner thread on exit!

2025/08/14 (08:34:12) | ===> btop++ v.1.3.2
2025/08/14 (08:34:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/14 (08:34:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/14 (08:34:48) | WARNING: Failed to join _runner thread on exit!

2025/08/14 (08:35:25) | ===> btop++ v.1.3.2
2025/08/14 (08:35:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/14 (08:35:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/14 (08:40:11) | ===> btop++ v.1.3.2
2025/08/14 (08:40:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/14 (08:40:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/14 (08:40:28) | WARNING: Failed to join _runner thread on exit!

2025/08/14 (09:23:43) | ===> btop++ v.1.3.2
2025/08/14 (09:23:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/14 (09:23:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/14 (21:50:07) | ===> btop++ v.1.3.2
2025/08/14 (21:50:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/14 (21:50:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/14 (21:52:36) | WARNING: Failed to join _runner thread on exit!

2025/08/15 (09:32:01) | ===> btop++ v.1.3.2
2025/08/15 (09:32:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/15 (09:32:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/15 (09:42:28) | WARNING: Failed to join _runner thread on exit!

2025/08/18 (08:09:20) | ===> btop++ v.1.3.2
2025/08/18 (08:09:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/18 (08:09:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/18 (09:56:02) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (08:27:27) | ===> btop++ v.1.3.2
2025/08/19 (08:27:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/19 (08:27:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/19 (08:42:19) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (09:38:43) | ===> btop++ v.1.3.2
2025/08/19 (09:38:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/19 (09:38:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/19 (11:06:59) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (11:18:29) | ===> btop++ v.1.3.2
2025/08/19 (11:18:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/19 (11:18:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/19 (11:38:36) | ===> btop++ v.1.3.2
2025/08/19 (11:38:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/19 (11:38:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/19 (11:48:32) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (11:57:33) | ===> btop++ v.1.3.2
2025/08/19 (11:57:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/19 (11:57:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/19 (12:30:18) | WARNING: Failed to join _runner thread on exit!

2025/08/19 (12:51:28) | ===> btop++ v.1.3.2
2025/08/19 (12:51:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/19 (12:51:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/19 (12:57:07) | ===> btop++ v.1.3.2
2025/08/19 (12:57:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/19 (12:57:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/08/21 (08:17:40) | ===> btop++ v.1.3.2
2025/08/21 (08:17:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
